,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,98.83,35,2,3.22,clear sky
265,Port Alfred,ZA,-33.59,26.89,61.54,85,74,11.03,broken clouds
266,Saint-Philippe,RE,-21.36,55.77,69.8,83,25,4.7,scattered clouds
267,Saint-Francois,FR,46.42,3.91,68.0,42,81,13.87,broken clouds
268,Kurilsk,RU,45.23,147.88,66.2,92,80,7.45,broken clouds
269,Lugovoy,KZ,42.95,72.76,59.59,33,8,8.52,clear sky
270,Lebu,CL,-37.62,-73.65,54.27,69,0,13.62,clear sky
271,Lorengau,PG,-2.02,147.27,81.77,81,9,10.09,clear sky
272,Krasnoselkup,RU,65.7,82.47,45.32,82,100,9.42,overcast clouds
273,Salta,AR,-24.79,-65.41,62.6,51,96,6.93,overcast clouds
274,Pyay,MM,18.82,95.22,77.41,87,98,3.04,overcast clouds
275,Ende,ID,-8.84,121.66,74.7,75,24,2.42,few clouds
276,Anadyr,RU,64.75,177.48,46.4,93,75,11.18,light rain
277,Beloha,MG,-25.17,45.05,64.6,68,0,17.78,clear sky
278,Taltal,CL,-25.4,-70.48,64.08,52,26,6.6,scattered clouds
279,Andenes,NO,69.31,16.12,51.8,87,75,13.87,light rain
280,Boa Vista,BR,2.82,-60.67,91.4,52,40,1.12,shower rain
281,Kimbe,PG,-5.55,150.14,75.15,87,100,3.62,overcast clouds
282,Rincon,US,32.3,-81.24,82.4,69,90,10.29,overcast clouds
283,Esso,RU,55.93,158.7,45.37,85,100,3.85,light rain
284,Bilma,NE,18.69,12.92,101.8,11,8,5.59,clear sky
285,Nishihara,JP,26.18,127.76,78.8,83,40,17.22,scattered clouds
286,Cozumel,MX,20.51,-86.95,87.8,70,40,9.17,scattered clouds
287,Matara,LK,5.95,80.54,77.31,79,100,14.2,moderate rain
288,Ayagoz,KZ,47.97,80.44,48.4,52,18,8.46,few clouds
289,Simpang,ID,-1.27,104.08,76.91,84,99,3.11,overcast clouds
290,Saint-Pierre,RE,-21.34,55.48,69.8,83,36,4.7,scattered clouds
291,Orel-Izumrud,RU,43.46,39.92,75.2,69,75,2.24,broken clouds
292,Buala,SB,-8.14,159.59,80.22,80,42,6.22,scattered clouds
293,Cercany,CZ,49.85,14.7,64.0,50,98,3.0,overcast clouds
294,Inverell,AU,-29.78,151.12,48.0,82,1,8.99,clear sky
295,Borazjan,IR,29.27,51.22,91.4,63,0,6.93,clear sky
296,Kidal,ML,18.44,1.41,97.36,25,2,3.36,clear sky
297,Pampa,US,35.54,-100.96,86.0,42,1,23.04,clear sky
298,Bowen,AU,-20.02,148.23,64.4,93,40,8.05,scattered clouds
299,Kaliwungu,ID,-6.96,110.25,76.77,75,69,4.56,broken clouds
300,Hobyo,SO,5.35,48.53,76.62,77,70,24.18,broken clouds
301,Port Augusta,AU,-32.5,137.77,68.0,20,0,14.99,clear sky
302,Vila Franca Do Campo,PT,37.72,-25.43,71.6,68,75,23.04,broken clouds
303,Koplik,AL,42.21,19.44,84.2,37,0,5.82,clear sky
304,Maun,BW,-19.98,23.42,84.2,21,0,9.17,clear sky
305,Montevideo,UY,-34.83,-56.17,59.0,62,0,13.87,clear sky
306,Auki,SB,-8.77,160.7,77.86,84,47,4.5,scattered clouds
307,Itoman,JP,26.12,127.67,78.8,83,40,17.22,scattered clouds
308,Hervey Bay,AU,-25.3,152.85,64.0,91,4,3.0,clear sky
309,Alyangula,AU,-13.85,136.42,64.4,100,2,9.19,clear sky
310,Namibe,AO,-15.2,12.15,67.57,85,79,4.23,broken clouds
311,Novikovo,RU,51.15,37.89,69.62,36,100,7.23,overcast clouds
312,Sumenep,ID,-7.02,113.87,79.65,81,19,9.64,few clouds
313,Beringovskiy,RU,63.05,179.32,44.82,83,93,4.27,overcast clouds
314,Tautira,PF,-17.73,-149.15,73.4,78,75,3.36,broken clouds
315,Coihaique,CL,-45.58,-72.07,51.8,62,90,5.82,overcast clouds
316,Pimentel,PE,-6.84,-79.93,68.0,64,20,10.29,few clouds
317,Noumea,NC,-22.28,166.46,72.0,82,100,8.16,overcast clouds
318,Ljungby,SE,56.83,13.94,59.0,62,67,11.41,broken clouds
319,Vizinga,RU,61.07,50.1,54.27,87,33,4.76,scattered clouds
320,Gat,IL,31.61,34.76,86.0,57,0,4.0,clear sky
321,Acajutla,SV,13.59,-89.83,82.0,78,72,3.36,broken clouds
322,Meadow Lake,US,34.8,-106.54,84.0,38,20,9.17,few clouds
323,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,78.71,63,1,10.69,clear sky
324,Lavrentiya,RU,65.58,-171.0,38.98,85,100,8.46,overcast clouds
325,Kartuzy,PL,54.33,18.2,61.0,77,20,9.17,few clouds
326,Viedma,AR,-40.81,-63.0,64.0,40,0,13.0,clear sky
327,Balakhninskiy,RU,58.01,114.28,54.55,86,57,2.71,broken clouds
328,Guhagar,IN,17.48,73.19,80.24,87,100,3.36,heavy intensity rain
329,Kishi,NG,9.08,3.85,77.36,88,94,3.49,moderate rain
330,Chingirlau,KZ,51.09,54.08,60.93,39,100,6.71,light rain
331,Den Helder,NL,52.96,4.76,57.99,87,90,9.17,heavy intensity rain
332,Cayenne,GF,4.93,-52.33,91.4,55,75,5.82,broken clouds
333,Farah,AF,32.5,62.5,69.55,24,0,5.1,clear sky
334,Honningsvag,NO,70.98,25.97,50.0,87,75,21.92,broken clouds
335,Cocobeach,GA,1.0,9.58,78.8,78,75,6.93,broken clouds
336,Bulgan,MN,48.81,103.53,46.38,92,48,1.32,scattered clouds
337,Yaan,NG,7.38,8.57,75.0,94,96,1.34,light rain
338,Esperance,AU,-33.87,121.9,60.8,72,90,12.75,overcast clouds
339,Melhus,NO,63.29,10.28,57.99,68,54,4.0,broken clouds
340,Suntar,RU,62.14,117.63,43.88,86,89,3.4,overcast clouds
341,Awbari,LY,26.59,12.78,96.39,12,0,8.84,clear sky
342,Sola,VU,-13.88,167.55,79.27,84,92,22.32,overcast clouds
343,Jiamusi,CN,46.83,130.35,60.89,89,100,3.94,overcast clouds
344,Tiarei,PF,-17.53,-149.33,73.4,78,75,3.36,broken clouds
345,Lensk,RU,60.73,114.93,49.64,87,66,4.61,broken clouds
346,Ancud,CL,-41.87,-73.82,55.99,80,0,1.99,clear sky
347,Bundaberg,AU,-24.85,152.35,64.99,93,90,8.05,overcast clouds
